                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6431,                 3.9756,                 3.5374,                0.41427,                0.15791,                0.08609,                 0.0558,                  1.622,                 3.0006,                 2.5883,              0.0033304,              0.0033304,              0.0033304
                      2,                 1.5546,                 2.9004,                 2.1601,                 0.3882,                0.31826,                0.20517,                 0.1306,                 1.4065,                 2.4958,                 2.1099,              0.0065978,              0.0065978,              0.0065978
                      3,                 1.3552,                 2.4164,                 1.8528,                  0.575,                0.35107,                0.36018,                0.25535,                 1.1846,                 1.7922,                 1.8199,              0.0097992,              0.0097992,              0.0097992
                      4,                 1.2846,                 2.0537,                 1.7385,                0.64631,                0.40314,                0.45749,                0.32521,                  1.137,                 1.4929,                 1.7541,               0.009703,               0.009703,               0.009703
                      5,                 1.2224,                 1.8243,                 1.6597,                0.67014,                0.44809,                0.51264,                0.36847,                 1.0631,                 1.3001,                 1.6356,               0.009703,               0.009703,               0.009703
                      6,                 1.1798,                 1.7016,                 1.6106,                0.66727,                 0.4568,                0.53114,                0.39247,                0.98849,                   1.25,                 1.5517,               0.009604,               0.009604,               0.009604
                      7,                 1.1576,                 1.6052,                 1.5834,                0.72178,                0.48801,                0.57883,                0.42186,                0.98544,                 1.0907,                 1.5435,               0.009505,               0.009505,               0.009505
                      8,                 1.1334,                 1.5272,                 1.5648,                0.73811,                0.50474,                0.59758,                0.44329,                0.94481,                 1.0193,                  1.471,               0.009406,               0.009406,               0.009406
                      9,                 1.1177,                 1.4728,                 1.5464,                 0.7641,                0.52247,                0.62083,                 0.4567,                 0.9297,                0.96881,                  1.473,               0.009307,               0.009307,               0.009307
                     10,                 1.0968,                  1.417,                 1.5296,                0.75138,                0.53634,                0.62855,                0.46355,                  0.922,                0.95225,                 1.4435,               0.009208,               0.009208,               0.009208
                     11,                 1.0757,                 1.3744,                 1.5136,                0.74893,                0.55913,                0.65199,                0.48471,                0.90076,                0.91836,                 1.4102,               0.009109,               0.009109,               0.009109
                     12,                 1.0654,                 1.3417,                 1.5045,                0.76652,                0.56117,                0.66179,                0.49547,                 0.8716,                 0.8839,                  1.377,                0.00901,                0.00901,                0.00901
                     13,                 1.0624,                 1.3297,                 1.4997,                0.77737,                 0.5728,                0.68026,                0.50579,                 0.8711,                0.85851,                 1.3754,               0.008911,               0.008911,               0.008911
                     14,                 1.0501,                 1.2959,                 1.4898,                0.77799,                0.58617,                 0.6894,                0.51475,                0.85517,                0.83281,                 1.3541,               0.008812,               0.008812,               0.008812
                     15,                 1.0366,                  1.271,                 1.4805,                0.79699,                 0.5905,                0.70691,                0.52711,                0.83937,                0.82331,                 1.3354,               0.008713,               0.008713,               0.008713
                     16,                 1.0338,                 1.2488,                 1.4792,                0.80429,                0.59636,                0.71121,                 0.5308,                0.83482,                0.78299,                 1.3274,               0.008614,               0.008614,               0.008614
                     17,                 1.0322,                 1.2384,                 1.4751,                0.79772,                0.60983,                 0.7183,                0.53577,                0.82532,                0.78444,                 1.3078,               0.008515,               0.008515,               0.008515
                     18,                 1.0226,                 1.2159,                 1.4648,                0.79428,                0.62008,                0.72798,                0.54296,                0.82296,                0.76598,                 1.2986,               0.008416,               0.008416,               0.008416
                     19,                  1.016,                 1.2082,                 1.4581,                0.80822,                0.62925,                0.74206,                0.55651,                0.80599,                0.74955,                 1.2849,               0.008317,               0.008317,               0.008317
                     20,                 1.0095,                 1.1906,                 1.4527,                0.80205,                0.63294,                0.74745,                0.55987,                0.79825,                0.73213,                 1.2757,               0.008218,               0.008218,               0.008218
                     21,                 1.0017,                 1.1714,                 1.4438,                0.79756,                0.65394,                0.75892,                0.56735,                0.80342,                0.71078,                 1.2728,               0.008119,               0.008119,               0.008119
                     22,                 1.0077,                 1.1647,                 1.4467,                0.80923,                0.64548,                0.75628,                0.57004,                 0.7875,                0.71333,                 1.2578,                0.00802,                0.00802,                0.00802
                     23,                0.98901,                 1.1381,                 1.4339,                 0.8186,                0.65509,                0.76918,                0.57918,                0.78361,                0.69443,                 1.2507,               0.007921,               0.007921,               0.007921
                     24,                0.98665,                 1.1423,                 1.4352,                0.81432,                0.65899,                 0.7709,                0.58261,                0.76885,                0.68104,                 1.2408,               0.007822,               0.007822,               0.007822
                     25,                0.98398,                 1.1144,                 1.4285,                 0.8127,                0.66306,                0.77325,                0.58605,                0.76668,                0.68083,                  1.232,               0.007723,               0.007723,               0.007723
                     26,                0.98871,                 1.1208,                 1.4304,                0.81962,                0.66843,                0.78438,                0.59432,                0.75899,                 0.6627,                 1.2223,               0.007624,               0.007624,               0.007624
                     27,                0.98664,                 1.1065,                 1.4247,                0.81824,                0.67893,                0.79004,                0.59761,                0.75398,                0.65076,                 1.2158,               0.007525,               0.007525,               0.007525
                     28,                0.96415,                 1.0794,                 1.4141,                0.82762,                0.67756,                0.79344,                0.60307,                0.74697,                0.64388,                 1.2013,               0.007426,               0.007426,               0.007426
                     29,                0.97053,                 1.0787,                 1.4115,                0.81985,                0.69174,                0.79979,                0.60767,                0.73924,                  0.635,                 1.1969,               0.007327,               0.007327,               0.007327
                     30,                0.96022,                 1.0648,                 1.4081,                 0.8198,                0.69339,                0.80145,                0.61127,                0.73795,                 0.6349,                 1.1961,               0.007228,               0.007228,               0.007228
